organId	organName	annotated	significant	expected	foldEnrichment	pValue	FDR
FBbt:00001742	larval thoracic segment (Drosophila)	5909	3995	3845.32	1.04	5.33e-15	8.39e-14
UBERON:0000994	spermathecum	5951	4021	3872.65	1.04	6.46e-15	9.99e-14
UBERON:0004909	epithelium of gonad	5953	4021	3873.95	1.04	1.07e-14	1.63e-13
FBbt:00007002	cell (Drosophila)	6717	4495	4371.13	1.03	3.61e-14	5.39e-13
FBbt:00001766	eye-antennal disc (Drosophila)	5983	4035	3893.48	1.04	7.54e-14	1.11e-12
FBbt:00004911	oviduct (Drosophila)	4546	3116	2958.34	1.05	9.50e-14	1.38e-12
FBbt:00001768	eye disc (Drosophila)	5977	4030	3889.57	1.04	1.21e-13	1.73e-12
UBERON:0000079	male reproductive system	6914	4612	4499.33	1.03	2.56e-13	3.54e-12
UBERON:0003101	male organism	6914	4612	4499.33	1.03	2.56e-13	3.54e-12
UBERON:0000473	testis	6910	4609	4496.73	1.02	3.31e-13	4.44e-12
UBERON:0003135	male reproductive organ	6910	4609	4496.73	1.02	3.31e-13	4.44e-12
CL:0000000	cell	6735	4501	4382.85	1.03	3.60e-13	4.56e-12
CL:0000003	cell	6735	4501	4382.85	1.03	3.60e-13	4.56e-12
GO:0005575	cellular_component	6735	4501	4382.85	1.03	3.60e-13	4.56e-12
GO:0005623	cell	6735	4501	4382.85	1.03	3.60e-13	4.56e-12
FBbt:00005065	adipose system (Drosophila)	6647	4444	4325.58	1.03	1.06e-12	1.22e-11
UBERON:0001013	adipose tissue	6647	4444	4325.58	1.03	1.06e-12	1.22e-11
UBERON:0002384	connective tissue	6647	4444	4325.58	1.03	1.06e-12	1.22e-11
UBERON:0003917	arthropod fat body	6647	4444	4325.58	1.03	1.06e-12	1.22e-11
UBERON:0011821	irregular connective tissue	6647	4444	4325.58	1.03	1.06e-12	1.22e-11
UBERON:0011822	dense irregular connective tissue	6647	4444	4325.58	1.03	1.06e-12	1.22e-11
UBERON:0011823	dense connective tissue	6647	4444	4325.58	1.03	1.06e-12	1.22e-11
FBbt:00001760	embryonic/larval imaginal precursor (Drosophila)	6305	4227	4103.02	1.03	4.37e-12	4.92e-11
UBERON:0000939	imaginal disc	6305	4227	4103.02	1.03	4.37e-12	4.92e-11
FBbt:00005023	imaginal precursor (Drosophila)	6324	4238	4115.38	1.03	6.20e-12	6.90e-11
UBERON:0012275	meso-epithelium	6282	4205	4088.05	1.03	7.16e-11	7.86e-10
FBbt:00003023	adult abdomen (Drosophila)	6633	4424	4316.47	1.02	1.00e-10	1.09e-09
FBbt:00000020	abdomen (Drosophila)	6683	4453	4349.01	1.02	2.30e-10	2.47e-09
UBERON:0007100	primary circulatory organ	1072	787	697.61	1.13	2.42e-10	2.51e-09
UBERON:0015228	circulatory organ	1072	787	697.61	1.13	2.42e-10	2.51e-09
UBERON:0015230	dorsal vessel heart	1072	787	697.61	1.13	2.42e-10	2.51e-09
FBbt:00003149	adult circulatory system (Drosophila)	1075	789	699.56	1.13	2.49e-10	2.55e-09
UBERON:0000055	vessel	1073	787	698.26	1.13	3.30e-10	3.31e-09
UBERON:0015231	circulatory system dorsal vessel	1073	787	698.26	1.13	3.30e-10	3.31e-09
UBERON:0000991	gonad	7244	4795	4714.08	1.02	1.58e-09	1.55e-08
UBERON:0003133	reproductive organ	7244	4795	4714.08	1.02	1.58e-09	1.55e-08
FBbt:00003624	adult brain (Drosophila)	6599	4392	4294.34	1.02	5.00e-09	4.85e-08
UBERON:0000955	brain	6675	4437	4343.8	1.02	1.23e-08	1.18e-07
UBERON:0005156	reproductive structure	7284	4814	4740.11	1.02	1.70e-08	1.62e-07
UBERON:0010371	ecto-epithelium	6446	4291	4194.78	1.02	2.47e-08	2.32e-07
UBERON:0000481	multi-tissue structure	7161	4734	4660.07	1.02	9.30e-08	8.65e-07
UBERON:0004120	mesoderm-derived structure	7475	4925	4864.41	1.01	2.03e-07	1.87e-06
UBERON:0003914	epithelial tube	6977	4617	4540.33	1.02	2.45e-07	2.23e-06
UBERON:0003714	neural tissue	5015	3368	3263.54	1.03	3.46e-07	3.12e-06
UBERON:0003103	compound organ	7293	4812	4745.97	1.01	3.57e-07	3.19e-06
UBERON:0000045	ganglion	5014	3367	3262.89	1.03	3.77e-07	3.31e-06
UBERON:0003339	ganglion of central nervous system	5014	3367	3262.89	1.03	3.77e-07	3.31e-06
FBbt:00003559	adult nervous system (Drosophila)	7050	4659	4587.83	1.02	8.06e-07	7.00e-06
FBbt:00003623	adult central nervous system (Drosophila)	7047	4657	4585.88	1.02	8.42e-07	7.25e-06
FBbt:00004052	thoracico-abdominal ganglion (Drosophila)	4566	3072	2971.35	1.03	1.36e-06	1.16e-05
UBERON:0001017	central nervous system	7132	4708	4641.2	1.01	1.63e-06	1.38e-05
UBERON:0000990	reproductive system	7354	4845	4785.66	1.01	2.06e-06	1.73e-05
UBERON:0001016	nervous system	7150	4716	4652.91	1.01	4.73e-06	3.92e-05
FBbt:00005624	embryonic/larval midgut primordium (Drosophila)	1439	1004	936.44	1.07	1.87e-05	1.53e-04
FBbt:00005246	midgut primordium (Drosophila)	1445	1008	940.34	1.07	1.88e-05	1.53e-04
UBERON:0000119	cell layer	7088	4671	4612.56	1.01	3.18e-05	2.55e-04
UBERON:0000483	epithelium	7088	4671	4612.56	1.01	3.18e-05	2.55e-04
UBERON:0000020	sense organ	7190	4732	4678.94	1.01	7.47e-05	5.93e-04
FBbt:00007692	sensory system (Drosophila)	7192	4733	4680.24	1.01	8.04e-05	6.32e-04
UBERON:0003142	prepupa	7040	4637	4581.33	1.01	9.23e-05	7.20e-04
FBbt:00001134	presumptive embryonic/larval peripheral nervous system (Drosophila)	7198	4736	4684.15	1.01	9.99e-05	7.72e-04
UBERON:0001032	sensory system	7195	4734	4682.19	1.01	1.03e-04	7.85e-04
UBERON:0004456	entire sense organ system	7195	4734	4682.19	1.01	1.03e-04	7.85e-04
UBERON:0015203	non-connected functional system	7200	4737	4685.45	1.01	1.07e-04	8.09e-04
AEO:0000173	surface sense organ	7175	4721	4669.18	1.01	1.17e-04	8.63e-04
UBERON:0000972	antenna	7175	4721	4669.18	1.01	1.17e-04	8.63e-04
UBERON:0015212	lateral structure	7175	4721	4669.18	1.01	1.17e-04	8.63e-04
FBbt:00000007	procephalic segment (Drosophila)	7188	4729	4677.64	1.01	1.23e-04	8.95e-04
FBbt:00000009	antennal segment (Drosophila)	7177	4722	4670.48	1.01	1.26e-04	9.11e-04
FBbt:00003009	adult head segment (Drosophila)	7179	4723	4671.78	1.01	1.35e-04	9.63e-04
FBbt:00003010	adult procephalic segment (Drosophila)	7179	4723	4671.78	1.01	1.35e-04	9.63e-04
FBbt:00003012	adult antennal segment (Drosophila)	7176	4721	4669.83	1.01	1.40e-04	9.87e-04
UBERON:0000026	appendage	7193	4731	4680.89	1.01	1.68e-04	1.18e-03
FBbt:00000006	head segment (Drosophila)	7190	4729	4678.94	1.01	1.74e-04	1.21e-03
FBbt:00000015	thorax (Drosophila)	6444	4256	4193.48	1.01	1.99e-04	1.37e-03
FBbt:00003006	adult segment (Drosophila)	7198	4733	4684.15	1.01	2.29e-04	1.57e-03
